"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.56.1","224.0.0.251","MDNS","105","Standard query response 0x0000 PTR Desktop-62fvk98._nomachine._tcp.local"
"2","0.100415705","192.168.56.1","224.0.0.251","MDNS","404","Standard query response 0x0000 TXT, cache flush"
"3","1.103739702","192.168.56.1","224.0.0.251","MDNS","404","Standard query response 0x0000 TXT, cache flush"
"4","1.204162406","192.168.56.1","224.0.0.251","MDNS","105","Standard query response 0x0000 PTR Desktop-62fvk98._nomachine._tcp.local"
"5","1.435289777","192.168.56.114","192.168.56.113","TCP","74","48740  >  502 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=445174954 TSecr=0 WS=128"
"6","1.435316658","192.168.56.113","192.168.56.114","TCP","74","502  >  48740 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2155729123 TSecr=445174954 WS=128"
"7","1.435817791","192.168.56.114","192.168.56.113","TCP","66","48740  >  502 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=445174955 TSecr=2155729123"
"8","1.435818022","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 45407; Unit:   1, Func:   3: Read Holding Registers"
"9","1.435853319","192.168.56.113","192.168.56.114","TCP","66","502  >  48740 [ACK] Seq=1 Ack=13 Win=65152 Len=0 TSval=2155729123 TSecr=445174955"
"10","1.436836249","192.168.56.113","192.168.56.114","Modbus/TCP","85","Response: Trans: 45407; Unit:   1, Func:   3: Read Holding Registers"
"11","1.437211647","192.168.56.114","192.168.56.113","TCP","66","48740  >  502 [ACK] Seq=13 Ack=20 Win=64256 Len=0 TSval=445174956 TSecr=2155729124"
"12","1.437211737","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 47138; Unit:   1, Func:   6: Write Single Register"
"13","1.437218841","192.168.56.113","192.168.56.114","TCP","66","502  >  48740 [ACK] Seq=20 Ack=25 Win=65152 Len=0 TSval=2155729125 TSecr=445174956"
"14","1.437569131","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 47138; Unit:   1, Func:   6: Write Single Register"
"15","1.438038859","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 14434; Unit:   1, Func:   6: Write Single Register"
"16","1.438044300","192.168.56.113","192.168.56.114","TCP","66","502  >  48740 [ACK] Seq=32 Ack=37 Win=65152 Len=0 TSval=2155729126 TSecr=445174957"
"17","1.438359412","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 14434; Unit:   1, Func:   6: Write Single Register"
"18","1.438794052","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 17009; Unit:   1, Func:   6: Write Single Register"
"19","1.438799833","192.168.56.113","192.168.56.114","TCP","66","502  >  48740 [ACK] Seq=44 Ack=49 Win=65152 Len=0 TSval=2155729126 TSecr=445174958"
"20","1.439115457","192.168.56.113","192.168.56.114","Modbus/TCP","78","Response: Trans: 17009; Unit:   1, Func:   6: Write Single Register"
"21","1.439516684","192.168.56.114","192.168.56.113","Modbus/TCP","78","   Query: Trans: 28946; Unit:   1, Func:   6: Write Single Register"
"22","1.439522024","192.168.56.113","192.168.56.114","TCP","66","502  >  48740 [ACK] Seq=56 Ack=61 Win=65152 Len=0 TSval=2155729127 TSecr=445174958"
